Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,PCO Tangible Common Equity
[Do not alter shaded columns]                             QA Field ID,,,,,,,3270
Field Type,,,,,,,BHC-SP
Period,,,,,,,6/30/25
Duration,,,,,,MRQ,
"Emmetsburg Bank Shares, Inc.",BHC-SP,1131901,Emmetsburg,IA,6/30/2025,"529,917","42,154"
"Calumet Bancorporation, Inc.",BHC-SP,1133820,Chilton,WI,6/30/2025,"485,132","58,223"
"Bosque Bancshares, Inc.",BHC-SP,1135057,Cranfills Gap,TX,6/30/2025,"187,160","3,355"
Manhattan Banking Corporation,BHC-SP,1139363,Manhattan,KS,6/30/2025,"2,641,539","304,197"
"Turbotville National Bancorp, Inc.",BHC-SP,1142813,Turbotville,PA,6/30/2025,"213,157","34,399"
"F.N.B.C. Of La Grange, Inc.",BHC-SP,1201532,La Grange,IL,6/30/2025,"573,569","36,269"
"Citizens Bank Holding, Inc.",BHC-SP,1207132,Mukwonago,WI,6/30/2025,"1,113,604","143,264"
"Cedar Valley Bankshares, Ltd.",BHC-SP,1207815,Charles City,IA,6/30/2025,"548,661","52,416"
"Midstates Bancshares, Inc.",BHC-SP,1825367,Harlan,IA,6/30/2025,"623,107","58,649"
"First Blanchester Bancshares, Inc.",BHC-SP,1859193,Blanchester,OH,6/30/2025,"78,111","8,323"
"Jones Bancorp, Inc.",BHC-SP,2004039,Marcellus,MI,6/30/2025,"11,013","11,014"
"Central Bancshares, Inc.",BHC-SP,2024318,Saint Paris,OH,6/30/2025,"76,865","18,994"
"Sbt Bancshares, Inc.",BHC-SP,2145950,Golden Meadow,LA,6/30/2025,"150,153","10,958"
Premier Financial Corp.,BHC-SP,2687124,Dubuque,IA,6/30/2025,"347,464","23,103"
"Hometown Bancshares, Inc.",BHC-SP,2955300,Corbin,KY,6/30/2025,"309,616","12,711"
"Reynolds, Teague, Thurman Financial Corp.",BHC-SP,3147353,Moody,TX,6/30/2025,"54,236","9,013"
Citizensada Financial Corporation,BHC-SP,3435229,Ada,OK,6/30/2025,"326,494","29,927"
"Gc Bancorp, Inc.",BHC-SP,3593295,Chicago,IL,6/30/2025,"457,192","70,107"
Van Financial Corporation,BHC-SP,3943528,Breda,IA,6/30/2025,"104,788","14,458"
"Cb Edinburg Holdings, Inc.",BHC-SP,4795863,Edinburg,IL,6/30/2025,"30,702","3,074"
"Homeland Community Bancorp, Inc",BHC-SP,5760756,Mcminnville,TN,6/30/2025,"246,782","11,354"
"Summit Bancshares, Inc.",BHC-SP,1029295,Oakland,CA,6/30/2025,"286,972","48,639"
"Wausa Banshares, Inc.",BHC-SP,1051698,Wausa,NE,6/30/2025,"244,207","20,281"
"Labette County Bankshares, Inc.",BHC-SP,1057784,Altamont,KS,6/30/2025,"512,560","67,296"
First National Bancshares Corporation Of Fredonia,BHC-SP,1064081,Fredonia,KS,6/30/2025,"97,671","10,534"
