Company Name,Type,RSSD ID,City,State,MRQ,Total Assets,HTM Securities: Cost,HTM Securities: FMV,HTM Securities: Cost,HTM Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,AFS Securities: Cost,AFS Securities: FMV,Tangible Common Equity,Goodwill,Other Intangibles,Municipals,,,,,,,,,,,,,,,,,,,,,,
[Do not alter shaded columns]                             QA Field ID,,,,,,,2916,2917,2916,2917,2897,2898,2897,2898,1790,6,1825,2921,,,,,,,,,,,,,,,,,,,,,,
Field Type,,,,,,,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,Bank,,,,,,,,,,,,,,,,,,,,,,
Period,,,,,,,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,12/31/24,12/31/24,3/31/25,3/31/25,3/31/25,3/31/25,,,,,,,,,,,,,,,,,,,,,,
Duration,,,,,,MRQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Community Bank & Trust,Bank,2869162,Woodstock,IL,3/31/2025,"1,037,593",0,0,0,0,"265,071","260,776","212,892","206,838","110,831",0,0,"6,475",,0,,,,,,,,,,,,,,,,,,,,
American Community Bank Of Indiana,Bank,1010574,Saint John,IN,3/31/2025,"375,206",0,0,0,0,"18,274","17,108","16,324","14,973","32,578",0,0,"2,913",,0,,,,,,,,,,,,,,,,,,,,
American Continental Bank,Bank,3216316,City Of Industry,CA,3/31/2025,"362,729",0,0,0,0,"1,095","1,108","2,139","2,149","55,643",0,"1,011",0,,1011,,,,,,,,,,,,,,,,,,,,
American Eagle Bank,Bank,3116519,South Elgin,IL,3/31/2025,"485,969","1,915","1,915","1,915","1,915",998,968,996,958,"42,683",0,0,"1,915",,0,,,,,,,,,,,,,,,,,,,,
American Exchange Bank,Bank,1014451,Elmwood,NE,3/31/2025,"67,901",0,0,0,0,"18,213","17,617","20,731","20,096","7,034",0,0,"5,281",,0,,,,,,,,,,,,,,,,,,,,
American Exchange Bank,Bank,811550,Henryetta,OK,3/31/2025,"96,004",0,0,0,0,"5,905","5,383","6,003","5,390","12,447",0,0,"2,409",,0,,,,,,,,,,,,,,,,,,,,
"AMERICAN EXCHANGE BANK, LINDSAY, OKLAHOMA",Bank,826451,Lindsay,OK,3/31/2025,"97,307",0,0,0,0,"47,821","45,536","46,982","44,385","8,825",0,0,"36,317",,0,,,,,,,,,,,,,,,,,,,,
American Express National Bank,Bank,1394676,Sandy,UT,3/31/2025,"203,447,693",0,0,0,0,"120,177","111,445","126,841","116,826","19,159,693",0,0,"26,563",,0,,,,,,,,,,,,,,,,,,,,
American Federal Bank,Bank,637170,Fargo,ND,3/31/2025,"770,656",0,0,0,0,"64,239","62,686","62,847","61,201","70,040",0,0,0,,0,,,,,,,,,,,,,,,,,,,,
American First National Bank,Bank,2694681,Houston,TX,3/31/2025,"2,807,023",0,0,0,0,"90,166","87,104","92,095","87,583","357,201",0,0,"4,250",,0,,,,,,,,,,,,,,,,,,,,
